                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 1.0417,                0.67277,                 1.1836,                0.76258,                0.83608,                0.85054,                0.58039,                 1.0032,                0.60086,                 1.1767,             0.00064538,             0.00064538,             0.00064538
                    130,                 1.0735,                0.71483,                 1.1897,                0.84035,                0.84842,                0.90162,                0.63132,                 0.9257,                0.54513,                 1.1424,             0.00064171,             0.00064171,             0.00064171
                    131,                 1.0696,                0.69501,                  1.202,                0.83892,                0.84153,                0.88674,                0.61909,                0.92281,                0.55655,                 1.1393,             0.00063805,             0.00063805,             0.00063805
                    132,                 1.0451,                0.68131,                  1.183,                0.81968,                0.82503,                0.88059,                0.61569,                0.91976,                 0.5541,                 1.1353,             0.00063438,             0.00063438,             0.00063438
                    133,                 1.0475,                0.66475,                 1.1772,                0.78302,                 0.9063,                0.89822,                0.63296,                0.91744,                0.52626,                 1.1338,             0.00063071,             0.00063071,             0.00063071
                    134,                 1.0279,                0.65649,                 1.1769,                  0.811,                0.87399,                0.88705,                0.61623,                0.92292,                 0.5343,                 1.1416,             0.00062705,             0.00062705,             0.00062705
                    135,                 1.0405,                 0.6653,                   1.19,                0.83517,                0.87297,                0.90589,                0.63342,                0.93887,                0.53839,                 1.1548,             0.00062338,             0.00062338,             0.00062338
                    136,                 1.0243,                  0.663,                 1.1716,                0.83161,                0.80985,                0.87568,                0.60877,                0.93747,                0.56113,                 1.1445,             0.00061972,             0.00061972,             0.00061972
                    137,                 1.0361,                0.67561,                  1.181,                0.78844,                0.88587,                0.90141,                0.62876,                0.94862,                0.53272,                 1.1544,             0.00061605,             0.00061605,             0.00061605
                    138,                 1.0211,                0.64412,                 1.1835,                 0.8304,                0.78259,                0.86944,                0.62164,                0.90843,                0.54644,                 1.1315,             0.00061238,             0.00061238,             0.00061238
                    139,                 1.0478,                0.66785,                 1.1963,                0.80486,                0.86374,                0.88463,                0.61411,                0.94465,                0.57033,                 1.1571,             0.00060872,             0.00060872,             0.00060872
                    140,                 1.0473,                0.67874,                 1.1901,                0.83305,                 0.8206,                  0.895,                0.62211,                0.90908,                0.52025,                 1.1236,             0.00060505,             0.00060505,             0.00060505
                    141,                  1.052,                0.67981,                 1.2222,                0.86001,                 0.8457,                0.90195,                0.62977,                0.92758,                0.52935,                 1.1359,             0.00060138,             0.00060138,             0.00060138
                    142,                  1.034,                0.67631,                 1.1924,                0.79169,                0.85011,                0.88769,                0.62945,                0.91518,                0.55505,                  1.128,             0.00059772,             0.00059772,             0.00059772
                    143,                 1.0359,                0.65267,                  1.188,                0.81945,                0.87505,                0.91046,                0.63434,                0.92328,                0.52028,                 1.1372,             0.00059405,             0.00059405,             0.00059405
                    144,                  1.038,                0.65821,                 1.1834,                0.80112,                0.85912,                0.89472,                 0.6286,                0.90493,                0.52317,                 1.1281,             0.00059039,             0.00059039,             0.00059039
                    145,                 1.0235,                 0.6594,                 1.1608,                0.82574,                0.89534,                0.91022,                0.62718,                0.91183,                0.51925,                   1.13,             0.00058672,             0.00058672,             0.00058672
